id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi
0,0.4650373387644263,0.0,0.0947490505429393,1.0,0.0625,1.0,0.33870967741935487,0.4199135587855152,0.31092436974789917,0.2857142857142857,0.1,0.715749730312837,0.14276048714479023,0.46214382632293083,0.7142857142857143,0.0625,0.1111111111111111,1.0,0.0,1.0
3,0.4650373387644263,1.0,0.9435506972174825,1.0,0.0,0.0,0.0967741935483871,0.433991666663723,0.957983193277311,0.0,0.9500000000000001,0.8451995685005392,0.5087956698240866,0.2396200814111262,0.6428571428571429,1.0,0.6666666666666665,1.0,0.0,1.0
4,0.9925322471147319,1.0,0.9441301320385,1.0,0.0,0.0,0.06451612903225806,0.911989122933803,0.3529411764705882,0.14285714285714285,0.75,0.1941747572815534,0.14276048714479023,0.46214382632293083,0.9285714285714285,0.75,0.49999999999999994,1.0,0.0,1.0
5,0.4528173794976239,1.0,0.9729881458344241,1.0,0.1875,0.0,0.5,0.014272871439512367,0.4369747899159665,1.0,0.2,0.23894282632146707,0.4411366711772666,0.4567164179104478,0.7142857142857143,0.1875,0.9444444444444444,1.0,0.0,0.0
7,0.4650373387644263,1.0,0.8431575152563873,0.0,0.25,1.0,0.16129032258064516,0.13787217650155567,0.46218487394957986,0.7142857142857142,0.25,0.1941747572815534,0.9519621109607579,0.46214382632293083,0.7857142857142857,0.4375,0.2222222222222222,1.0,1.0,1.0
8,0.4650373387644263,1.0,0.01441895522656289,0.0,0.125,0.0,0.8225806451612904,0.43114153728733995,0.18487394957983194,0.5714285714285714,0.7000000000000001,0.6774541531823084,0.9519621109607579,0.46214382632293083,0.7857142857142857,0.375,0.6111111111111112,1.0,1.0,1.0
9,0.9904955872369313,1.0,0.020451791906376637,1.0,0.1875,1.0,0.016129032258064516,0.013621756931474022,0.9915966386554621,0.42857142857142855,0.9500000000000001,0.034519956850053934,0.759810554803789,0.9109905020352782,0.7142857142857143,0.1875,0.2222222222222222,1.0,1.0,0.0
11,0.4317718940936863,0.0,0.014380415427681759,0.0,0.0,0.0,0.0,0.8477057221591348,0.8067226890756302,0.8571428571428572,0.8500000000000001,0.2659115426105717,0.8788903924221922,0.8146540027137043,0.5714285714285714,0.4375,0.27777777777777773,1.0,1.0,1.0
14,0.9714867617107942,1.0,0.2839109727324439,1.0,0.0,0.0,0.4032258064516129,0.010584181440717867,0.7478991596638654,0.7142857142857142,0.05,0.5544768069039913,0.8119079837618404,0.005156037991858889,0.3571428571428571,0.1875,0.9444444444444444,1.0,0.0,0.0
16,0.3455532926001358,1.0,0.5370165194917516,1.0,0.0,1.0,0.935483870967742,0.07423982002027404,0.45378151260504207,0.2857142857142857,0.1,0.033441208198489746,0.3389715832205683,0.5267299864314791,0.3571428571428571,0.3125,0.1111111111111111,1.0,1.0,0.0
17,0.13034623217922603,0.0,0.014266009316095563,1.0,0.0,1.0,0.29032258064516125,0.01870538953288561,0.2100840336134454,0.0,0.2,0.27777777777777773,1.0,0.005156037991858889,0.1428571428571429,0.25,0.27777777777777773,1.0,0.0,0.0
19,0.8995247793618465,0.0,0.014267950483851904,1.0,0.3125,1.0,0.29032258064516125,0.019235734840019638,0.04201680672268915,0.0,0.2,0.27777777777777773,1.0,0.005156037991858889,0.1428571428571429,0.25,0.27777777777777773,1.0,0.0,0.0
20,0.3455532926001358,0.0,0.36799043423270356,1.0,0.0,1.0,0.7903225806451613,0.058636955611181804,0.01680672268907568,0.14285714285714285,0.05,0.007551240560949298,0.14884979702300405,0.46214382632293083,0.9285714285714285,0.125,0.5555555555555556,1.0,0.0,0.0
21,0.3455532926001358,0.0,0.6310373136773828,1.0,0.1875,0.0,0.8225806451612904,0.11979960353847839,0.5546218487394957,0.5714285714285714,0.8,0.5960086299892124,0.09066305818673881,0.06648575305291723,0.7857142857142857,0.0,1.0,1.0,1.0,0.0
22,0.8995247793618465,0.0,0.01427877420558954,1.0,0.3125,1.0,0.8387096774193549,0.019228871087760616,0.15966386554621848,0.0,0.55,0.14617044228694714,1.0,0.005156037991858889,0.1428571428571429,0.0,0.9444444444444444,1.0,0.0,0.0
27,0.13034623217922603,0.0,0.014257371009160774,1.0,0.0,1.0,0.29032258064516125,0.019998309166373813,0.2100840336134454,0.0,0.2,0.07551240560949299,1.0,0.005156037991858889,0.1428571428571429,0.25,0.27777777777777773,1.0,0.0,0.0
28,0.4650373387644263,1.0,0.09114672019768089,0.0,0.125,0.0,0.7580645161290323,0.963320627516811,0.4873949579831932,0.42857142857142855,0.9500000000000001,0.033441208198489746,0.24627875507442487,0.5318860244233379,0.1428571428571429,0.25,0.9444444444444444,1.0,1.0,0.0
30,0.9925322471147319,0.0,0.014274024859313339,1.0,0.0,1.0,0.29032258064516125,0.02348275986656204,0.2100840336134454,0.0,0.55,0.27777777777777773,1.0,0.005156037991858889,0.1428571428571429,0.25,0.0,1.0,0.0,0.0
