id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi
1,0.4650373387644263,0.0,0.0143692158393319,1.0,0.0,1.0,0.6129032258064516,0.9729355021723208,0.9243697478991596,1.0,0.35,0.20334412081984896,0.1427604871447902,0.4621438263229308,0.0714285714285714,0.0625,0.0,1.0,0.0,1.0
2,0.4317718940936863,0.0,0.6689430330922332,0.0,0.0625,0.0,0.5,0.0131214278478241,0.0168067226890756,0.7142857142857142,0.5,0.20064724919093854,0.7070365358592694,0.4621438263229308,0.4285714285714286,0.4375,0.0555555555555555,1.0,0.0,0.0
6,0.3455532926001358,1.0,0.5214283174362508,0.0,0.0,1.0,0.4838709677419355,0.97054603384206,0.1932773109243697,0.7142857142857142,0.05,0.19417475728155345,0.584573748308525,0.4621438263229308,0.8571428571428571,0.0625,0.2222222222222222,1.0,0.0,0.0
10,0.2138492871690427,0.0,0.2665964943871567,0.0,0.0,0.0,0.0,0.0206955935886863,0.638655462184874,0.8571428571428572,0.0,0.7157497303128371,0.8119079837618404,0.1533242876526458,0.5,0.5,0.3333333333333333,1.0,1.0,0.0
12,0.3455532926001358,1.0,0.6151254100836692,0.0,0.25,1.0,0.0,0.6465115292949575,0.7647058823529412,0.0,0.65,0.35760517799352753,0.7658998646820028,0.648032564450475,0.6428571428571429,0.3125,0.0,1.0,1.0,0.0
13,0.691785471826205,0.0,0.8290718874633916,1.0,0.0,1.0,0.4032258064516129,0.0139157629617005,0.9243697478991596,0.4285714285714285,0.7000000000000001,0.10194174757281553,0.2347767253044654,0.7446404341926731,0.5714285714285714,0.0625,0.7222222222222221,1.0,1.0,0.0
15,0.3455532926001358,0.0,0.5725026993969364,0.0,0.0,0.0,0.7580645161290323,0.446002953338433,0.1764705882352941,0.1428571428571428,0.0,0.15210355987055013,0.8761840324763195,0.648032564450475,0.4285714285714286,0.0625,0.5555555555555556,1.0,1.0,0.0
18,0.691785471826205,1.0,0.2765419881058464,0.0,0.0625,1.0,0.4838709677419355,0.4210922910315258,0.9747899159663864,0.0,0.45,0.22330097087378645,0.3294993234100135,0.0868385345997286,0.7857142857142857,0.1875,0.3333333333333333,1.0,0.0,1.0
23,0.4650373387644263,1.0,0.0145595235977347,0.0,0.25,0.0,0.064516129032258,0.4290042519000837,0.2773109243697479,0.0,0.75,0.15210355987055013,0.3470906630581867,0.648032564450475,0.9285714285714284,0.1875,0.6666666666666665,1.0,0.0,1.0
24,0.5112016293279023,1.0,0.934584916386372,0.0,0.0,0.0,0.935483870967742,0.0978941175215874,0.8991596638655462,1.0,0.3,0.05987055016181221,0.6799729364005414,0.3611940298507463,0.1428571428571429,0.375,0.9444444444444444,1.0,1.0,1.0
25,0.9035980991174474,0.0,0.5267844148934777,0.0,0.0,0.0,0.7741935483870968,0.4471257255872732,0.9747899159663864,1.0,0.1,0.3953613807982741,0.7401894451962112,0.1080054274084124,0.2142857142857143,0.25,0.9444444444444444,1.0,0.0,1.0
26,0.130346232179226,0.0,0.0143036423533375,1.0,0.0,1.0,0.8548387096774194,0.0429545401621773,0.2100840336134454,0.0,0.55,0.07551240560949292,1.0,0.0051560379918588,0.1428571428571429,0.0,0.2777777777777777,1.0,0.0,0.0
29,0.1724372029871012,1.0,0.6225042383520836,0.0,0.0,1.0,0.3548387096774194,0.4296791421694093,0.5546218487394957,0.8571428571428572,0.75,0.21143473570658036,0.4120433017591339,0.1400271370420624,0.9285714285714284,1.0,0.6666666666666665,1.0,1.0,0.0
